ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
50,DISTRICT 23 - FRESNO,CA1000298,WOODWARD BLUFFS MHP,A,6/28/1980,FRESNO,GW ,P,C,C,300,R - MOBILE HOME PARK,172,SC   ,F_CD
51,DISTRICT 23 - FRESNO,CA1000299,THREE PALMS MOBILEHOME PARK,A,6/28/1980,FRESNO,GW ,P,C,C,300,R - MOBILE HOME PARK,105,DAVCS,F_CD
52,DISTRICT 23 - FRESNO,CA1000365,PONDEROSA TRAILER PARK,A,1/27/1983,FRESNO,GW ,P,NC,NC,180,R - MOBILE HOME PARK,40,N1   ,F_CD
53,DISTRICT 23 - FRESNO,CA1000378,SUNSET WEST COMMUNITY LLC,A,3/28/1986,FRESNO,GW ,P,C,C,350,R - MOBILE HOME PARK,159,SC   ,F_CD
54,DISTRICT 23 - FRESNO,CA1000405,PIEDRA PARK ASSOCIATION,A,3/28/1986,FRESNO,GW ,P,C,C,25,R - MOBILE HOME PARK,15,SC   ,F_CD
55,DISTRICT 23 - FRESNO,CA1000426,RIVERBEND MOBILE HOME & RV PARK,A,3/10/1988,FRESNO,GW ,P,C,C,400,R - MOBILE HOME PARK,49,SC   ,F_CD
56,DISTRICT 23 - FRESNO,CA1000454,VIKING RV PARK,A,7/14/1992,FRESNO,GW ,P,NC,NC,86,R - MOBILE HOME PARK,50,N1   ,F_CD
57,DISTRICT 21 - VALLEY,CA1100237,WILLOWS MOBILE HOME COMMUNITY & RV PARK,A,3/28/1986,GLENN,GW ,P,C,C,190,R - MOBILE HOME PARK,87,SC   ,F_CD
58,DISTRICT 21 - VALLEY,CA1100413,COUNTRY LEISURE MOBILE ESTATES,A,3/28/1986,GLENN,GW ,P,C,C,40,R - MOBILE HOME PARK,33,SC   ,F_CD
59,DISTRICT 21 - VALLEY,CA1100444,ORLAND ESTATES MOBILE H.P.,A,3/28/1986,GLENN,GW ,P,C,C,200,R - MOBILE HOME PARK,74,SC   ,F_CD
