ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
271,LPA67 - SAN DIEGO COUNTY,CA3701341,QUIET OAKS MOBILE HOME PARK,A,8/2/2016,SAN DIEGO,GW ,P,C,C,120,R - MOBILE HOME PARK,45,SC   ,F_CD
272,LPA67 - SAN DIEGO COUNTY,CA3701694,PINEZANITA INC.,A,8/2/2016,SAN DIEGO,GW ,P,NC,NC,400,R - MOBILE HOME PARK,246,N1   ,F_CD
273,LPA67 - SAN DIEGO COUNTY,CA3701793,TWIN LAKES RESORT,A,8/2/2016,SAN DIEGO,GW ,P,C,C,200,R - MOBILE HOME PARK,145,SC   ,F_CD
274,LPA67 - SAN DIEGO COUNTY,CA3701895,SANTA YSABEL TRAILER PARK,A,8/2/2016,SAN DIEGO,GW ,P,NP,SSWS,15,R - MOBILE HOME PARK,9,XS   ,F_CD
275,LPA67 - SAN DIEGO COUNTY,CA3701961,PINE VALLEY TRAILER PARK,A,8/2/2016,SAN DIEGO,GW ,P,C,C,200,R - MOBILE HOME PARK,92,SC   ,F_CD
276,LPA67 - SAN DIEGO COUNTY,CA3701988,ALPINE OAKS ESTATES LLC,A,8/2/2016,SAN DIEGO,GW ,P,C,C,125,R - MOBILE HOME PARK,68,SC   ,F_CD
277,DISTRICT 14 - SAN DIEGO,CA3702354,WARNER SPRINGS ESTATES,A,1/1/1976,SAN DIEGO,GW ,P,C,C,443,R - MOBILE HOME PARK,307,SC   ,F_CD
278,LPA67 - SAN DIEGO COUNTY,CA3702754,RANCHO CORRIDO RV RESORT,A,8/2/2016,SAN DIEGO,GW ,P,C,C,350,R - MOBILE HOME PARK,120,SC   ,F_CD
279,LPA69 - SAN JOAQUIN COUNTY,CA3900561,LODI LAKE MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,104,R - MOBILE HOME PARK,52,SC   ,F_CD
280,LPA69 - SAN JOAQUIN COUNTY,CA3900568,CARIBOU MOBILE PARK PWS,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,180,R - MOBILE HOME PARK,72,SC   ,F_CD
281,LPA69 - SAN JOAQUIN COUNTY,CA3900569,EL RIO MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,60,R - MOBILE HOME PARK,28,SC   ,F_CD
282,LPA69 - SAN JOAQUIN COUNTY,CA3900579,CENTURY MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,50,R - MOBILE HOME PARK,19,SC   ,F_CD
283,LPA69 - SAN JOAQUIN COUNTY,CA3900586,B&G MOBILE HOME PARK LLC WS,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,50,R - MOBILE HOME PARK,22,SC   ,F_CD
284,LPA69 - SAN JOAQUIN COUNTY,CA3900596,VILLA CEREZOS,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,200,R - MOBILE HOME PARK,82,SC   ,F_CD
285,LPA69 - SAN JOAQUIN COUNTY,CA3900602,TAHAMA VILLAGE MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,200,R - MOBILE HOME PARK,68,SC   ,F_CD
286,LPA69 - SAN JOAQUIN COUNTY,CA3900606,A1 WINSTONS MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,75,R - MOBILE HOME PARK,30,SC   ,F_CD
287,LPA69 - SAN JOAQUIN COUNTY,CA3900607,COUNTRY SQUIRE MOBILE ESTATES & WATER SY,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,64,R - MOBILE HOME PARK,49,SC   ,F_CD
288,LPA69 - SAN JOAQUIN COUNTY,CA3900624,IL VINETO,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,160,R - MOBILE HOME PARK,83,SC   ,F_CD
289,LPA69 - SAN JOAQUIN COUNTY,CA3900637,BIG WHEEL MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,120,R - MOBILE HOME PARK,63,SC   ,F_CD
290,LPA69 - SAN JOAQUIN COUNTY,CA3900649,GLENWOOD MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,100,R - MOBILE HOME PARK,50,SC   ,F_CD
291,LPA69 - SAN JOAQUIN COUNTY,CA3900653,ISLANDER MARINA,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,150,R - MOBILE HOME PARK,73,SC   ,F_CD
292,LPA69 - SAN JOAQUIN COUNTY,CA3900661,MAPACHE TRAILER PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,275,R - MOBILE HOME PARK,99,SC   ,F_CD
293,LPA69 - SAN JOAQUIN COUNTY,CA3900664,NEW HOPE LANDING GENERAL STORE,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,125,R - MOBILE HOME PARK,44,SC   ,F_CD
294,LPA69 - SAN JOAQUIN COUNTY,CA3900682,LOCKEFORD MOBILE HOME PARK WTR SYS,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,100,R - MOBILE HOME PARK,43,SC   ,F_CD
295,LPA69 - SAN JOAQUIN COUNTY,CA3900705,FINNLEES TRAILER PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,55,R - MOBILE HOME PARK,26,SC   ,F_CD
296,LPA69 - SAN JOAQUIN COUNTY,CA3900719,MOKELUMNE MOBILE SENIOR PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,55,R - MOBILE HOME PARK,25,SC   ,F_CD
297,LPA69 - SAN JOAQUIN COUNTY,CA3900721,WOODBRIDGE MOBILE ESTATES,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,110,R - MOBILE HOME PARK,37,SC   ,F_CD
298,LPA69 - SAN JOAQUIN COUNTY,CA3900732,V & P TRAILER COURT WATER SYSTEM,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,35,R - MOBILE HOME PARK,15,SC   ,F_CD
299,LPA69 - SAN JOAQUIN COUNTY,CA3900755,SHADY REST TRAILER COURT,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,120,R - MOBILE HOME PARK,49,SC   ,F_CD
300,LPA69 - SAN JOAQUIN COUNTY,CA3900762,RIVERSIDE MOBILE HOME PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,55,R - MOBILE HOME PARK,58,SC   ,F_CD
301,LPA69 - SAN JOAQUIN COUNTY,CA3900805,MOREHEAD PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,300,R - MOBILE HOME PARK,113,SC   ,F_CD
302,LPA69 - SAN JOAQUIN COUNTY,CA3900813,HAVEN ACRES RIVER CLUB INC,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,100,R - MOBILE HOME PARK,51,SC   ,F_CD
303,LPA69 - SAN JOAQUIN COUNTY,CA3900831,ARBOR MOBILE HOME PARK WS,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,340,R - MOBILE HOME PARK,173,SC   ,F_CD
304,LPA69 - SAN JOAQUIN COUNTY,CA3900842,DOUBLE L MOBILE ESTATES,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,320,R - MOBILE HOME PARK,150,SC   ,F_CD
305,LPA69 - SAN JOAQUIN COUNTY,CA3900844,COUNTRY MANOR MHP,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,75,R - MOBILE HOME PARK,2,SC   ,F_CD
306,LPA69 - SAN JOAQUIN COUNTY,CA3900907,BEL AIR MOBILE ESTATE,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,150,R - MOBILE HOME PARK,116,SC   ,F_CD
307,LPA69 - SAN JOAQUIN COUNTY,CA3900964,SAHARA MOBILE COURT,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,300,R - MOBILE HOME PARK,162,SC   ,F_CD
308,LPA69 - SAN JOAQUIN COUNTY,CA3900983,CHERRY LANE TRAILER PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,100,R - MOBILE HOME PARK,43,SC   ,F_CD
309,LPA69 - SAN JOAQUIN COUNTY,CA3901074,TWIN OAKS MOBILE PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,255,R - MOBILE HOME PARK,85,SC   ,F_CD
310,LPA69 - SAN JOAQUIN COUNTY,CA3901081,MOBILE VILLAS TRAILER PARK,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,130,R - MOBILE HOME PARK,36,SC   ,F_CD
311,LPA69 - SAN JOAQUIN COUNTY,CA3901114,KING ISLAND TRAILER PARK WATER SYSTEM,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,200,R - MOBILE HOME PARK,76,SC   ,F_CD
312,LPA69 - SAN JOAQUIN COUNTY,CA3901215,SAN JUAN VISTA,A,8/8/2016,SAN JOAQUIN,GW ,P,C,C,100,R - MOBILE HOME PARK,72,SC   ,F_CD
313,DISTRICT 10 - STOCKTON,CA3910020,STOCKTON VERDE MOBILE HOME PARK,A,1/1/1976,SAN JOAQUIN,GW ,P,C,C,712,R - MOBILE HOME PARK,293,SC   ,F_CD
314,LPA70 - SAN LUIS OBISPO COUNTY,CA4000226,PACIFIC DUNES RANCH,A,8/8/2016,SAN LUIS OBISPO,GW ,P,NTNC,NTNC,40,R - MOBILE HOME PARK,215,SP   ,F_CD
315,LPA70 - SAN LUIS OBISPO COUNTY,CA4000632,HIDDEN HILLS MOBILODGE,A,1/14/2019,SAN LUIS OBISPO,GW ,P,NP,SSWS,22,R - MOBILE HOME PARK,12,,
316,LPA70 - SAN LUIS OBISPO COUNTY,CA4000644,BABE RUTH'S OAK VIEW,A,8/8/2016,SAN LUIS OBISPO,GW ,P,NC,NC,25,R - MOBILE HOME PARK,25,N1   ,F_CD
317,LPA70 - SAN LUIS OBISPO COUNTY,CA4000648,KEN MAR GARDENS,A,8/8/2016,SAN LUIS OBISPO,GW ,P,C,C,84,R - MOBILE HOME PARK,45,,
318,LPA70 - SAN LUIS OBISPO COUNTY,CA4000649,LOS ROBLES MOBILE HOME ESTATES,A,8/8/2016,SAN LUIS OBISPO,GW ,P,C,C,420,R - MOBILE HOME PARK,160,SC   ,F_CD
319,LPA70 - SAN LUIS OBISPO COUNTY,CA4000653,RANCHO COLINA MOBILE HOME PARK,A,8/8/2016,SAN LUIS OBISPO,GW ,P,C,C,250,R - MOBILE HOME PARK,127,,
320,LPA70 - SAN LUIS OBISPO COUNTY,CA4000654,RESTHAVEN MOBILE HOME PARK,A,8/8/2016,SAN LUIS OBISPO,GW ,P,C,C,75,R - MOBILE HOME PARK,47,SC   ,F_CD
321,LPA70 - SAN LUIS OBISPO COUNTY,CA4000655,RINCONADA TRAILER PARK,A,8/8/2016,SAN LUIS OBISPO,GW ,P,NC,NC,14,R - MOBILE HOME PARK,15,N1   ,F_CD
322,LPA72 - SANTA BARBARA COUNTY,CA4200827,SANTA YNEZ ROBLAR MOBILE HOME PARK,A,7/26/2016,SANTA BARBARA,GW ,P,C,C,25,R - MOBILE HOME PARK,19,SC   ,F_CD
323,LPA72 - SANTA BARBARA COUNTY,CA4200842,SAINT MARIE MOBILE HOME PARK,A,7/26/2016,SANTA BARBARA,GW ,P,C,C,315,R - MOBILE HOME PARK,80,SC   ,F_CD
324,DISTRICT 06 - SANTA BARBARA,CA4210005,SAN VICENTE WATER COMPANY,A,3/22/1979,SANTA BARBARA,GW ,P,C,C,550,R - MOBILE HOME PARK,278,SC   ,F_CD
325,DISTRICT 17 - SANTA CLARA,CA4300581,VELLADAO MOBILE HOME PARK,A,11/30/1981,SANTA CLARA,GW ,P,C,C,75,R - MOBILE HOME PARK,27,SC   ,F_CD
326,DISTRICT 17 - SANTA CLARA,CA4300603,OAK DELL PARK,A,11/30/1981,SANTA CLARA,GW ,P,C,C,100,R - MOBILE HOME PARK,53,SC   ,F_CD
327,DISTRICT 17 - SANTA CLARA,CA4300611,CASA DE FRUTA WATER SYSTEM,A,11/30/1981,SANTA CLARA,GW ,P,C,C,250,R - MOBILE HOME PARK,37,SC   ,F_CD
328,DISTRICT 17 - SANTA CLARA,CA4300924,PARKWAY LAKES RV PARK,A,12/3/1992,SANTA CLARA,GW ,P,C,C,250,R - MOBILE HOME PARK,121,SC   ,F_CD
329,DISTRICT 17 - SANTA CLARA,CA4300994,COYOTE VALLEY RV RESORT,A,1/1/1976,SANTA CLARA,GW ,P,C,C,500,R - MOBILE HOME PARK,129,SC   ,F_CD
330,DISTRICT 17 - SANTA CLARA,CA4300999,UVAS PINES RV PARK,A,12/9/2009,SANTA CLARA,GW ,P,C,C,86,R - MOBILE HOME PARK,43,SC   ,F_CD
331,LPA74 - SANTA CRUZ COUNTY,CA4400850,THE WILLOWS RESORT,A,1/29/2015,SANTA CRUZ,GW ,P,C,C,54,R - MOBILE HOME PARK,69,SC   ,F_CD
332,LPA75 - SHASTA COUNTY,CA4500054,BALLS FERRY FISHING RESORT,A,4/30/2015,SHASTA,GW ,P,C,C,204,R - MOBILE HOME PARK,75,SC   ,F_CD
333,LPA75 - SHASTA COUNTY,CA4500058,BURNEY FALLS RESORT,A,4/30/2015,SHASTA,GW ,P,NC,NC,50,R - MOBILE HOME PARK,29,N1   ,F_CD
334,LPA75 - SHASTA COUNTY,CA4500062,LONE TREE MOBILE HOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,85,R - MOBILE HOME PARK,26,SC   ,F_CD
335,LPA75 - SHASTA COUNTY,CA4500063,CEDAR CREEK MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,40,R - MOBILE HOME PARK,20,SC   ,F_CD
336,LPA75 - SHASTA COUNTY,CA4500066,CLEAR CREEK MOBILE PARK,A,4/30/2015,SHASTA,GW ,P,C,C,75,R - MOBILE HOME PARK,40,SC   ,F_CD
337,LPA75 - SHASTA COUNTY,CA4500074,GOTCHA CREEK MOBILEHOME PARK,A,1/20/2022,SHASTA,GW ,P,NP,SSWS,20,R - MOBILE HOME PARK,9,,
338,LPA75 - SHASTA COUNTY,CA4500080,LAKESHORE RV PARK,A,4/30/2015,SHASTA,GW ,P,NC,NC,75,R - MOBILE HOME PARK,1,N1   ,F_CD
339,LPA75 - SHASTA COUNTY,CA4500081,LAZY LANDING MOBILE HOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,250,R - MOBILE HOME PARK,110,SC   ,F_CD
340,LPA75 - SHASTA COUNTY,CA4500082,MIDWAY MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,50,R - MOBILE HOME PARK,29,SC   ,F_CD
341,LPA75 - SHASTA COUNTY,CA4500085,LIVING SPRINGS RV & CABINS RESORT,A,4/30/2015,SHASTA,GW ,P,NC,NC,74,R - MOBILE HOME PARK,31,SC   ,F_CD
342,LPA75 - SHASTA COUNTY,CA4500089,PINE RIDGE PARK ESTATES,A,4/30/2015,SHASTA,GW ,P,C,C,44,R - MOBILE HOME PARK,27,SC   ,F_CD
343,LPA75 - SHASTA COUNTY,CA4500091,BIG BEND MOBILE ESTATES,A,1/20/2022,SHASTA,GW ,P,NP,SSWS,20,R - MOBILE HOME PARK,11,N1   ,F_CD
344,LPA75 - SHASTA COUNTY,CA4500092,RIVER BREEZE MOBILE HOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,87,R - MOBILE HOME PARK,32,SC   ,F_CD
345,LPA75 - SHASTA COUNTY,CA4500093,RED HILL MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,35,R - MOBILE HOME PARK,24,SC   ,F_CD
346,LPA75 - SHASTA COUNTY,CA4500094,RIVERLAND MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,274,R - MOBILE HOME PARK,93,SC   ,F_CD
347,LPA75 - SHASTA COUNTY,CA4500098,ANDERSON MOBILE HOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,70,R - MOBILE HOME PARK,21,SC   ,F_CD
348,LPA75 - SHASTA COUNTY,CA4500102,NORTH REDDING RV VILLAGE,A,4/30/2015,SHASTA,GW ,P,C,C,78,R - MOBILE HOME PARK,100,N1   ,F_CD
349,LPA75 - SHASTA COUNTY,CA4500104,SUNRISE MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,35,R - MOBILE HOME PARK,16,SC   ,F_CD
350,LPA75 - SHASTA COUNTY,CA4500106,RIO VISTA MOBILEHOME ESTATES,A,4/30/2015,SHASTA,GW ,P,C,C,25,R - MOBILE HOME PARK,1,SC   ,F_CD
351,LPA75 - SHASTA COUNTY,CA4500107,ZUFALL'S MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,96,R - MOBILE HOME PARK,78,SC   ,F_CD
352,LPA75 - SHASTA COUNTY,CA4500200,AMBERWOOD MOBILE HOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,120,R - MOBILE HOME PARK,1,SC   ,F_CD
353,LPA75 - SHASTA COUNTY,CA4500203,RAPID RIVER MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,92,R - MOBILE HOME PARK,44,SC   ,F_CD
354,LPA75 - SHASTA COUNTY,CA4500219,CREEKSIDE MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,85,R - MOBILE HOME PARK,41,SC   ,F_CD
355,LPA75 - SHASTA COUNTY,CA4500246,EL RIO ESTATES,A,4/30/2015,SHASTA,GW ,P,C,C,434,R - MOBILE HOME PARK,155,SC   ,F_CD
356,LPA75 - SHASTA COUNTY,CA4500290,PINE GROVE MOBILEHOME PARK,A,4/30/2015,SHASTA,GW ,P,C,C,53,R - MOBILE HOME PARK,19,SC   ,F_CD
357,LPA75 - SHASTA COUNTY,CA4500334,RAINBOW'S END MOBILE HOME PARK,A,4/30/2015,SHASTA,GW ,P,NC,NC,37,R - MOBILE HOME PARK,30,N1   ,F_CD
358,DISTRICT 01 - KLAMATH,CA4700541,CHATEAU SHASTA MOBILE HOME & RV PARK,A,3/22/1979,SISKIYOU,GW ,P,C,C,55,R - MOBILE HOME PARK,63,DAVCS,F_CD
359,DISTRICT 01 - KLAMATH,CA4700542,ABRAMS LAKE MOBILE ESTATES,A,3/22/1979,SISKIYOU,GW ,P,C,C,135,R - MOBILE HOME PARK,86,DAVCS,F_CD
360,DISTRICT 01 - KLAMATH,CA4700546,CAL ORE MOBILE ESTATES,A,1/27/1983,SISKIYOU,GW ,P,C,C,146,R - MOBILE HOME PARK,52,DAVCS,F_CD
361,DISTRICT 01 - KLAMATH,CA4700626,COVE MOBILE VILLA,A,3/22/1979,SISKIYOU,GW ,P,C,C,105,R - MOBILE HOME PARK,47,DAVCS,F_CD
362,DISTRICT 01 - KLAMATH,CA4700627,JUNIPER CREEK ESTATES,A,3/22/1979,SISKIYOU,GW ,P,C,C,130,R - MOBILE HOME PARK,51,SC   ,F_CD
363,DISTRICT 01 - KLAMATH,CA4700803,SHADOW MOUNTAIN MHP,A,11/30/1981,SISKIYOU,GW ,P,C,C,100,R - MOBILE HOME PARK,73,DAVCS,F_CD
364,DISTRICT 04 - SAN FRANCISCO,CA4800564,HIDDEN ACRES TRAILER VILLA,A,3/22/1979,SOLANO,GW ,P,C,C,80,R - MOBILE HOME PARK,54,SC   ,F_CD
365,DISTRICT 04 - SAN FRANCISCO,CA4800753,VINEYARD RV PARK,A,1/21/1984,SOLANO,GW ,P,C,C,365,R - MOBILE HOME PARK,360,SC   ,F_CD
366,DISTRICT 18 - SONOMA,CA4900600,RINCON VALLEY MOBILE ESTATES,A,3/22/1979,SONOMA,GW ,P,C,C,460,R - MOBILE HOME PARK,230,SC   ,F_CD
367,DISTRICT 18 - SONOMA,CA4900674,PINE HILL TERRACE MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,27,R - MOBILE HOME PARK,23,SC   ,F_CD
368,DISTRICT 18 - SONOMA,CA4900675,ROSELAND MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,130,R - MOBILE HOME PARK,70,DAVCS,F_CD
369,DISTRICT 18 - SONOMA,CA4900687,BROOKWOOD MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,400,R - MOBILE HOME PARK,202,SC   ,F_CD
370,DISTRICT 18 - SONOMA,CA4900720,MOBILE HOME ESTATES,A,3/22/1979,SONOMA,GW ,P,C,C,210,R - MOBILE HOME PARK,150,SC   ,F_CD
371,DISTRICT 18 - SONOMA,CA4900721,COLONIAL PARK,A,3/22/1979,SONOMA,SW ,P,C,C,342,R - MOBILE HOME PARK,194,DAVCS,F_CD
372,DISTRICT 18 - SONOMA,CA4900723,SHAMROCK MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,188,R - MOBILE HOME PARK,127,SC   ,F_CD
373,DISTRICT 18 - SONOMA,CA4900728,EVERGREEN MOBILE ESTATES,A,3/22/1979,SONOMA,GW ,P,C,C,70,R - MOBILE HOME PARK,23,SC   ,F_CD
374,DISTRICT 18 - SONOMA,CA4900787,PLAZA MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,125,R - MOBILE HOME PARK,71,SC   ,F_CD
375,DISTRICT 18 - SONOMA,CA4900788,EL CRYSTAL MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,130,R - MOBILE HOME PARK,57,DAVCS,F_CD
376,DISTRICT 18 - SONOMA,CA4900789,BLUE SPRUCE MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,90,R - MOBILE HOME PARK,56,SC   ,F_CD
377,DISTRICT 18 - SONOMA,CA4900791,WESTERN MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,225,R - MOBILE HOME PARK,73,SC   ,F_CD
378,DISTRICT 18 - SONOMA,CA4900792,WAYSIDE GARDENS MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,75,R - MOBILE HOME PARK,50,SC   ,F_CD
379,DISTRICT 18 - SONOMA,CA4900794,SUNSET PARK COMMUNITY,A,3/22/1979,SONOMA,GW ,P,C,C,141,R - MOBILE HOME PARK,42,SC   ,F_CD
380,DISTRICT 18 - SONOMA,CA4900795,STONEGATE MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,100,R - MOBILE HOME PARK,75,SC   ,F_CD
381,DISTRICT 18 - SONOMA,CA4900796,SANTA ROSA MOBILE ESTATES,A,3/22/1979,SONOMA,GW ,P,C,C,420,R - MOBILE HOME PARK,141,SC   ,F_CD
382,DISTRICT 18 - SONOMA,CA4900797,NORTH STAR MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,75,R - MOBILE HOME PARK,79,SC   ,F_CD
383,DISTRICT 18 - SONOMA,CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC",A,3/22/1979,SONOMA,GW ,P,C,C,250,R - MOBILE HOME PARK,111,DAVCS,F_CD
384,DISTRICT 18 - SONOMA,CA4900799,EL PORTAL MOBILE ESTATES,A,3/22/1979,SONOMA,GW ,P,C,C,200,R - MOBILE HOME PARK,122,SC   ,F_CD
385,DISTRICT 18 - SONOMA,CA4900832,LEISURE MOBILE HOME PARK,A,3/22/1979,SONOMA,GW ,P,C,C,410,R - MOBILE HOME PARK,186,SC   ,F_CD
386,DISTRICT 18 - SONOMA,CA4900871,DE ANZA MOON VALLEY WATER COMPANY,A,4/19/1984,SONOMA,GW ,P,C,C,691,R - MOBILE HOME PARK,247,SC   ,F_CD
387,LPA80 - STANISLAUS COUNTY,CA5000033,COBLES CORNER,A,7/21/2016,STANISLAUS,GW ,P,C,C,50,R - MOBILE HOME PARK,13,SC   ,F_CD
388,LPA80 - STANISLAUS COUNTY,CA5000041,MAZE BLVD MOBILEHOME PARK,A,7/21/2016,STANISLAUS,GW ,P,NC,NC,90,R - MOBILE HOME PARK,13,SC   ,F_CD
389,LPA80 - STANISLAUS COUNTY,CA5000048,LAZY B MOBILEHOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,125,R - MOBILE HOME PARK,49,SC   ,F_CD
390,LPA80 - STANISLAUS COUNTY,CA5000049,LONE PINE MHP,A,7/21/2016,STANISLAUS,GW ,P,C,C,64,R - MOBILE HOME PARK,32,SC   ,F_CD
391,LPA80 - STANISLAUS COUNTY,CA5000054,MORNINGSIDE MOBILEHOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,67,R - MOBILE HOME PARK,49,SC   ,F_CD
392,LPA80 - STANISLAUS COUNTY,CA5000055,OLIVE LANE MOBILEHOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,153,R - MOBILE HOME PARK,51,SC   ,F_CD
393,LPA80 - STANISLAUS COUNTY,CA5000058,FISHERMAN'S BEND MHP,A,7/21/2016,STANISLAUS,GW ,P,C,C,120,R - MOBILE HOME PARK,66,SC   ,F_CD
394,LPA80 - STANISLAUS COUNTY,CA5000060,CASA DE AMIGOS MOBILE HOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,220,R - MOBILE HOME PARK,73,SC   ,F_CD
395,LPA80 - STANISLAUS COUNTY,CA5000061,MARTIN'S MOBILE HOME COURT,A,7/21/2016,STANISLAUS,GW ,P,C,C,60,R - MOBILE HOME PARK,20,SC   ,F_CD
396,LPA80 - STANISLAUS COUNTY,CA5000062,SHILOH MOBILE HOME PARK & WATER SYSTEM,A,1/1/1992,STANISLAUS,GW ,P,NP,SSWS,1,R - MOBILE HOME PARK,1,,
397,LPA80 - STANISLAUS COUNTY,CA5000066,MODESTO MOBILE HOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,300,R - MOBILE HOME PARK,150,SC   ,F_CD
398,LPA80 - STANISLAUS COUNTY,CA5000067,TULLY MOBILE ESTATES,A,7/21/2016,STANISLAUS,GW ,P,C,C,40,R - MOBILE HOME PARK,15,SC   ,F_CD
399,LPA80 - STANISLAUS COUNTY,CA5000071,TWIN CYPRESS MOBILE HOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,112,R - MOBILE HOME PARK,45,SC   ,F_CD
400,LPA80 - STANISLAUS COUNTY,CA5000072,MULBERRY MHP,A,7/21/2016,STANISLAUS,GW ,P,C,C,148,R - MOBILE HOME PARK,53,SC   ,F_CD
401,LPA80 - STANISLAUS COUNTY,CA5000080,COUNTRY WESTERN MOBILE HOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,90,R - MOBILE HOME PARK,55,SC   ,F_CD
402,LPA80 - STANISLAUS COUNTY,CA5000082,4N MOBILEHOME PARK,A,7/21/2016,STANISLAUS,GW ,P,C,C,65,R - MOBILE HOME PARK,31,SC   ,F_CD
403,LPA80 - STANISLAUS COUNTY,CA5000090,RIVERVIEW MOBILE HOME ESTATES,A,7/21/2016,STANISLAUS,GW ,P,C,C,250,R - MOBILE HOME PARK,175,SC   ,F_CD
404,LPA80 - STANISLAUS COUNTY,CA5000095,SUNRISE VILLAGE MHP,A,7/21/2016,STANISLAUS,GW ,P,C,C,339,R - MOBILE HOME PARK,103,SC   ,F_CD
405,DISTRICT 21 - VALLEY,CA5100112,TIERRA BUENA MHP #1,A,6/27/1980,SUTTER,GW ,P,C,C,50,R - MOBILE HOME PARK,17,SC   ,F_CD
406,LPA82 - TEHAMA COUNTY,CA5200508,RIO VISTA MOBILE HOME PARK,A,8/3/2016,TEHAMA,GW ,P,C,C,543,R - MOBILE HOME PARK,195,SC   ,F_CD
